,Год,Цена,Район,Ковид,Санкции,Ключевая ставка ЦБ РФ (%),ИПЦ (% к декабрю предыдущего года),Доллар
301,2002,21209.192439862538,9,0,0,23.0,115.1,31.7844
302,2002,28113.70028123745,100,0,0,23.0,115.1,31.7844
303,2002,28710.167968479993,75,0,0,23.0,115.1,31.7844
304,2002,23611.11111111111,3,0,0,23.0,115.1,31.7844
305,2002,37944.43298260092,29,0,0,23.0,115.1,31.7844
306,2002,22804.774083546465,95,0,0,23.0,115.1,31.7844
307,2002,22766.323024054982,34,0,0,23.0,115.1,31.7844
308,2002,23588.762428048143,73,0,0,23.0,115.1,31.7844
309,2002,24603.91271132959,50,0,0,23.0,115.1,31.7844
310,2002,22145.227068500728,12,0,0,23.0,115.1,31.7844
311,2002,66742.31483391789,62,0,0,23.0,115.1,31.7844
312,2002,26881.377551020407,94,0,0,23.0,115.1,31.7844
313,2002,27813.8898392063,117,0,0,23.0,115.1,31.7844
314,2002,32235.93964334705,8,0,0,23.0,115.1,31.7844
315,2002,28526.785714285717,18,0,0,23.0,115.1,31.7844
316,2002,26323.341836734693,104,0,0,23.0,115.1,31.7844
317,2002,46991.03713188221,76,0,0,23.0,115.1,31.7844
318,2002,26429.980276134123,116,0,0,23.0,115.1,31.7844
319,2002,21623.367553600114,67,0,0,23.0,115.1,31.7844
320,2002,24251.2589451365,42,0,0,23.0,115.1,31.7844
321,2002,32091.767881241558,88,0,0,23.0,115.1,31.7844
322,2002,27351.904334001523,82,0,0,23.0,115.1,31.7844
323,2002,22370.06237006237,45,0,0,23.0,115.1,31.7844
324,2002,23953.087728597933,16,0,0,23.0,115.1,31.7844
325,2002,24590.494092373792,64,0,0,23.0,115.1,31.7844
326,2002,39605.39912167399,59,0,0,23.0,115.1,31.7844
327,2002,46374.4752308984,51,0,0,23.0,115.1,31.7844
328,2002,20916.87657430731,26,0,0,23.0,115.1,31.7844
329,2002,23465.330788804073,71,0,0,23.0,115.1,31.7844
330,2002,37086.903304773565,44,0,0,23.0,115.1,31.7844
331,2002,42539.309714882234,23,0,0,23.0,115.1,31.7844
332,2002,30022.165387894293,107,0,0,23.0,115.1,31.7844
333,2002,33221.38982175149,5,0,0,23.0,115.1,31.7844
334,2002,29702.162382700935,96,0,0,23.0,115.1,31.7844
335,2002,24204.80363518338,113,0,0,23.0,115.1,31.7844
336,2002,25491.452991452996,81,0,0,23.0,115.1,31.7844
337,2002,23593.11740890688,97,0,0,23.0,115.1,31.7844
338,2002,30405.332759918292,7,0,0,23.0,115.1,31.7844
339,2002,31185.350852669835,2,0,0,23.0,115.1,31.7844
340,2002,26251.06022052587,66,0,0,23.0,115.1,31.7844
341,2002,21243.10288867251,120,0,0,23.0,115.1,31.7844
342,2002,32170.435741864316,98,0,0,23.0,115.1,31.7844
343,2002,28268.601508038133,112,0,0,23.0,115.1,31.7844
344,2002,31440.621841123775,31,0,0,23.0,115.1,31.7844
345,2002,25657.336726039015,33,0,0,23.0,115.1,31.7844
346,2002,24030.61224489796,35,0,0,23.0,115.1,31.7844
347,2002,20303.223070398642,89,0,0,23.0,115.1,31.7844
348,2002,66773.50427350428,47,0,0,23.0,115.1,31.7844
349,2002,26601.83066361556,90,0,0,23.0,115.1,31.7844
350,2002,26246.99362124856,121,0,0,23.0,115.1,31.7844
351,2002,25513.651406508547,110,0,0,23.0,115.1,31.7844
352,2002,38527.62357916997,85,0,0,23.0,115.1,31.7844
353,2002,26179.432812085874,48,0,0,23.0,115.1,31.7844
354,2002,27384.020618556715,101,0,0,23.0,115.1,31.7844
355,2002,22025.19379844961,49,0,0,23.0,115.1,31.7844
356,2002,24439.102564102563,10,0,0,23.0,115.1,31.7844
357,2002,34731.798124655266,83,0,0,23.0,115.1,31.7844
358,2002,29882.89137165164,84,0,0,23.0,115.1,31.7844
359,2002,22466.07294317218,32,0,0,23.0,115.1,31.7844
360,2002,29914.499592010503,111,0,0,23.0,115.1,31.7844
361,2002,23639.45578231293,38,0,0,23.0,115.1,31.7844
362,2002,24584.148727984346,60,0,0,23.0,115.1,31.7844
363,2002,26802.112029384756,70,0,0,23.0,115.1,31.7844
364,2002,26715.225563909775,24,0,0,23.0,115.1,31.7844
365,2002,62080.86785009861,1,0,0,23.0,115.1,31.7844
366,2002,19117.02278194425,46,0,0,23.0,115.1,31.7844
367,2002,31440.329218106996,55,0,0,23.0,115.1,31.7844
368,2002,22041.864691081915,69,0,0,23.0,115.1,31.7844
369,2002,31508.45864661654,108,0,0,23.0,115.1,31.7844
370,2002,24783.33799273134,6,0,0,23.0,115.1,31.7844
371,2002,27623.414230557086,86,0,0,23.0,115.1,31.7844
372,2002,24613.899613899615,14,0,0,23.0,115.1,31.7844
373,2002,27654.440154440155,15,0,0,23.0,115.1,31.7844
